,name,rating,region,link
126,Dieci Anni Amarone della Valpolicella Riserva ,4.7,Amarone della Valpolicella,https://www.vivino.com/villa-canestrari-dieci-anni-riserva-amarone-della-valpolicella/w/1784285?year=2004
127,Poggio Al Vento Brunello di Montalcino Riserva ,4.7,Brunello di Montalcino,https://www.vivino.com/col-d-orcia-poggio-al-vento-brunello-di-montalcino-riserva/w/1207722?year=1982
128,Arcano La Luna ,4.7,Puglia,https://www.vivino.com/terrulenta-arcano-la-luna/w/1784247?year=2014
129,Il Velluto Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/meroni-il-velluto-amarone-della-valpolicella-classico/w/1177801?year=1998
130,Campo del Tìtari Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/brunelli-campo-del-titari-amarone-della-valpolicella-classico/w/1165365?year=2009
131,D.N.A ,4.7,Montefalco,https://www.vivino.com/alfredosa-dn/w/6618702?year=2014
132,Mago Amarone della Valpolicella ,4.6,Amarone della Valpolicella,https://www.vivino.com/corte-lenguin-mago-amarone-della-valpolicella/w/1615640?year=2013
133,S'Indora ,4.7,Toscana,https://www.vivino.com/mocine-s-indora/w/4886554?year=2013
134,Amarone della Valpolicella Riserva Cent’anni ,4.7,Amarone della Valpolicella,https://www.vivino.com/trabucchi-amarone-della-valpolicella-riserva-cent-anni/w/1526801?year=2004
135,Kapnios Aglianico ,4.7,Campania,https://www.vivino.com/it-masseria-frattasi-kapnios-aglianico/w/2215914?year=2008
136,Barolo Cannubi Boschis ,4.7,Barolo,https://www.vivino.com/sandrone-luciano-barolo-cannubi-boschis/w/23362?year=1989
137,Vigneto La Cà Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/contramalini-vigneto-la-ca-amarone-della-valpolicella-classico-valpolicella-red-wine-v-mugfy/w/1392548?year=2009
138,Massimo Martinelli Il Barolo Come lo Sento Io ,4.7,Piemonte,https://www.vivino.com/bricco-mollea-massimo-martinelli-il-barolo-come-lo-sento-io/w/5332710?year=2012
139,Since  Primitivo di Manduria Limited Platinum Edition ,4.7,Primitivo di Manduria,https://www.vivino.com/emera-since-1974-primitivo-di-manduria-limited-platinum-edition/w/6398781?year=2016
140,Campedel Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/gamba-campedel-amarone-della-valpolicella-classico/w/1175365?year=2006
141,Tignanello ,4.6,Toscana,https://www.vivino.com/antinori-tuscany-tignanello/w/1652?year=2016
142,Limited Edition  Vendemmie N.V.,4.6,Montepulciano d'Abruzzo,https://www.vivino.com/tenuta-ulisse-limited-edition-10-vendemmie-montepulciano-dabruzzo/w/6139455?year=N.V.
143,Tenuta Nuova Brunello di Montalcino ,4.6,Brunello di Montalcino,https://www.vivino.com/casanova-di-neri-tenuta-nuova-brunello-di-montalcino/w/9712?year=2010
144,Poggio all'Oro Brunello di Montalcino Riserva ,4.6,Brunello di Montalcino,https://www.vivino.com/banfi-poggio-all-oro-brunello-di-montalcino-riserva/w/1165001?year=1995
145,Kurni Marche ,4.6,Marche,https://www.vivino.com/oasi-degli-angeli-kurni-marche/w/1755765?year=2015
146,Amarone della Valpolicella Classico Riserva (Sergio Zenato) ,4.6,Amarone della Valpolicella Classico,https://www.vivino.com/zenato-amarone-della-valpolicella-classico-riserva-sergio-zenato/w/1127704?year=2012
147,Calcarole Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,https://www.vivino.com/guerrieri-rizzardi-calcarole-amarone-della-valpolicella-classico/w/79875?year=2008
148,Barolo Cascina Francia ,4.6,Barolo,https://www.vivino.com/giacomo-conterno-barolo-cascina-francia/w/82203?year=2009
149,Vendemmia d'Artista L'Eleganza ,4.6,Bolgheri Superiore,https://www.vivino.com/ornellaia-vendemmia-d-artista-l-eleganza/w/4580551?year=2013
150,Alteo Amarone della Valpolicella ,4.6,Amarone della Valpolicella,https://www.vivino.com/fasoli-gino-alteo-amarone-della-valpolicella/w/91577?year=2008
151,Bibbona ,4.6,Toscana,https://www.vivino.com/tenuta-campo-di-sasso-bibbona/w/1186753?year=2009
152,Barolo Riserva ,4.6,Barolo,https://www.vivino.com/giacomo-borgogno-and-figli-barolo-riserva/w/1203557?year=1982
153,Pietro Dal Cero Amarone della Valpolicella ,4.6,Amarone della Valpolicella,https://www.vivino.com/ca-dei-frati-pietro-dal-cero-amarone-della-valpolicella/w/2716483?year=2011
154,Limited Edition  Vendemmie ,4.6,Montepulciano d'Abruzzo,https://www.vivino.com/tenuta-ulisse-limited-edition-10-vendemmie-montepulciano-dabruzzo/w/6139455?year=2018
155,Pagliaro Montefalco Sagrantino Secco ,4.6,Montefalco Sagrantino,https://www.vivino.com/paolo-bea-pagliaro-montefalco-sagrantino-secco/w/1224050?year=2007
156,Ca' Florian Amarone della Valpolicella Classico Riserva ,4.6,Amarone della Valpolicella Classico,https://www.vivino.com/tommasi-ca-florian-amarone-della-valpolicella-classico-riserva/w/1913675?year=2008
157,Guado de' Gemoli ,4.6,Bolgheri Superiore,https://www.vivino.com/giovanni-chiappini-guado-de-gemoli/w/1253160?year=2009
158,Flaccianello della Pieve ,4.6,Colli della Toscana Centrale,https://www.vivino.com/tenuta-fontodi-flaccianello-della-pieve-colli-della-toscana-centrale/w/22721?year=2016
159,Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva ,4.6,Brunello di Montalcino,https://www.vivino.com/antinori-tuscany-pian-delle-vigne-vignaferrovia-brunello-di-montalcino-riserva/w/1247975?year=2010
160,Ripe al Convento Brunello di Montalcino Riserva ,4.6,Brunello di Montalcino,https://www.vivino.com/tenuta-castelgiocondo-ripe-al-convento-brunello-di-montalcino-riserva/w/1098914?year=2012
161,Guerriero della Terra ,4.6,Marche,https://www.vivino.com/guerrieri-guerriero-della-terra/w/6331780?year=2015
162,Valpolicella Superiore Monte Lodoletta ,4.6,Valpolicella,https://www.vivino.com/dal-forno-romano-valpolicella-superiore-monte-lodoletta/w/89753?year=2002
163,Valpolicella Classico Superiore ,4.6,Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-valpolicella-classico-superiore/w/84066?year=2002
164,Duca di Montalbo ,4.6,Terre Siciliane,https://www.vivino.com/g-milazzo-duca-di-montalbo/w/92687?year=2004
165,Pieve Santa Restituta Sugarille Brunello di Montalcino ,4.6,Brunello di Montalcino,https://www.vivino.com/gaja-pieve-santa-restituta-sugarille-brunello-di-montalcino/w/1298725?year=2011
166,De Bvris Amarone della Valpolicella Classico Riserva ,4.6,Amarone della Valpolicella Classico,https://www.vivino.com/tommasi-de-bvris-amarone-della-valpolicella-classico-riserva/w/6742010?year=2008
167,Amarone della Valpolicella Riserva Gino Cordin ,4.6,Amarone della Valpolicella,https://www.vivino.com/igino-accordini-amarone-della-valpolicella-riserva-gino-cordin/w/2466319?year=1997
168,Barbaresco Camp Gros Martinenga Riserva ,4.6,Barbaresco,https://www.vivino.com/cisa-asinari-barbaresco-camp-gros-martinenga-riserva/w/3761834?year=2011
169,Lilium Est Amarone Della Valpolicella Riserva ,4.6,Amarone della Valpolicella,https://www.vivino.com/tenuta-sant-antonio-lilium-est-amarone-della-valpolicella-riserva/w/1367557?year=2007
170,Amarone ,4.6,Amarone della Valpolicella,https://www.vivino.com/le-guaite-di-noemi-le-guaite-di-giulietta-amarone/w/1196472?year=2006
171,Cerretta Barolo Riserva (Vigna Bricco) ,4.6,Barolo,https://www.vivino.com/elio-altare-cerretta-barolo-riserva-vigna-bricco-barolo/w/1626074?year=2012
172,Pergole Vece Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,https://www.vivino.com/le-salette-pergole-vece-amarone-della-valpolicella-classico/w/78360?year=2011
173,Vignarionda Barolo Riserva ,4.6,Barolo,https://www.vivino.com/anselma-giacomo-vignarionda-barolo-riserva/w/736137?year=2011
174,Lupi e Sirene ,4.6,Brunello di Montalcino,https://www.vivino.com/podere-le-ripi-lupi-e-sirene/w/1226401?year=2007
175,Lamarein ,4.6,Vino d'Italia,https://www.vivino.com/erbhof-unterganzner-lamarein/w/1941762?year=2017
176,Falletto Barbaresco Asili ,4.6,Barbaresco,https://www.vivino.com/bruno-giacosa-falletto-barbaresco-asili/w/1134527?year=2004
177,Pieve Santa Restituta Rennina Brunello di Montalcino ,4.6,Brunello di Montalcino,https://www.vivino.com/gaja-pieve-santa-restituta-rennina-brunello-di-montalcino/w/2430168?year=2006
178,Franci Riserva Brunello di Montalcino ,4.6,Brunello di Montalcino,https://www.vivino.com/tassi-montalcino-franci-riserva-brunello-di-montalcino/w/1699693?year=2010
179,Lupi e Sirene Riserva ,4.6,Brunello di Montalcino,https://www.vivino.com/podere-le-ripi-lupi-e-sirene-riserva/w/2307317?year=2008
