,name,rating,sub_region,year,price_DKK,total_ratings,total_reviews,light-bold,smooth-tannic,dry-sweet,soft-acidic,winery,light-bold-cat,smooth-tannic-cat,dry-sweet-cat,soft-acidic-cat,region,cardinal_1,cardinal_2
5099,Campo del Drago Brunello di Montalcino ,4.5,Toscana,2011,949.95 ,319,289.0,0.497284,0.578292,0.0255206,0.624186,Castiglion del Bosco,semi light,semi tannic,dry,acidic,Toscana,North,North-west
5100,Amarone della Valpolicella Classico ,4.2,Amarone della Valpolicella Classico,2011,208.56 ,1533,2050.0,0.825,0.198835,0.444168,0.20214000000000001,Cesari,bold,smooth,sweet,soft,Veneto,North,North-east
5101,Pian delle Vigne Brunello di Montalcino ,4.3,Brunello di Montalcino,2011,449 ,1618,2783.0,0.4485,0.503255,0.0494413,0.601835,Antinori,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
5102,Harlequin ,4.4,Veneto,2011,1638.68 ,27,91.0,0.652385,0.39707299999999995,0.280721,0.276897,Zýmē,semi bold,semi smooth,semi dry,semi soft,Veneto,North,North-east
5103,Messorio ,4.5,Toscana,2011,2000 ,248,774.0,0.519799,0.400601,0.12849,0.422092,Le Macchiole,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
5104,Millecento Brunello di Montalcino Riserva ,4.5,Brunello di Montalcino,2011,1439.53 ,250,109.0,0.42606499999999997,0.53556,0.0563978,0.596961,Castiglion del Bosco,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
5105,Brunello di Montalcino ,4.2,Brunello di Montalcino,2011,320.29 ,1642,2555.0,0.42776600000000004,0.522347,0.03946619999999999,0.60248,Altesino,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
5106,Montepulciano d'Abruzzo ,4.2,Montepulciano d'Abruzzo,2011,594.40 ,676,1113.0,0.34797100000000003,0.393241,0.07066610000000001,0.623205,Emidio Pepe,light,semi smooth,dry,acidic,Abruzzo,East,East
5107,Barolo ,3.7,Barolo,2011,405.57 ,1587,1102.0,0.622423,0.737289,0.0,0.825,Terre del Barolo,semi bold,tannic,dry,acidic,Piemonte,North,North-west
5108,Toscana ,4.2,Toscana,2011,649.95 ,660,908.0,0.526489,0.424959,0.104358,0.425102,Orma,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
5109,Mille E Una Notte ,4.3,Contessa Entellina,2011,308.33 ,1582,1036.0,0.809379,0.41038800000000003,0.26465099999999997,0.24959299999999998,Donnafugata,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
5110,Chianti Classico ,3.6,Chianti Classico,2011,105.66 ,1642,1648.0,0.394922,0.510288,0.0,0.60394,Castello di Albola,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
