,name,rating,region,"price, kr.",light-bold,smooth-tannic,dry-sweet,soft-acidic,winery
172,Pergole Vece Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,505.51 ,78.6262,23.1881,51.553000000000004,22.271,Le Salette
173,Vignarionda Barolo Riserva ,4.6,Barolo,525.33 ,63.1542,73.9297,10.5029,80.6184,Anselma Giacomo
174,Lupi e Sirene ,4.6,Brunello di Montalcino,550 ,42.8959,53.3172,6.3937100000000004,61.1901,Podere le Ripi
175,Lamarein ,4.6,Vino d'Italia,327.74 ,67.8282,37.2069,27.284000000000002,22.6894,Erbhof Unterganzner
176,Falletto Barbaresco Asili ,4.6,Barbaresco,1200 ,55.9474,64.4926,7.9284,82.5,Bruno Giacosa
177,Pieve Santa Restituta Rennina Brunello di Montalcino ,4.6,Brunello di Montalcino,1994.72 ,43.9198,56.968,8.5407,63.14790000000001,Gaja
178,Franci Riserva Brunello di Montalcino ,4.6,Brunello di Montalcino,1007.29 ,42.1502,52.7196,0.3178200000000002,58.6819,Tassi
179,Lupi e Sirene Riserva ,4.6,Brunello di Montalcino,675 ,47.184,57.3158,7.660500000000001,62.0346,Podere le Ripi
180,Barolo Sorì Ginestra ,4.6,Barolo,662.92 ,61.324,75.5562,1.7431999999999999,81.8589,Conterno Fantino
181,Vigneti di Ravazzol Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,399 ,78.7699,23.6051,45.0247,26.3741,Ca La Bionda
182,Barolo SetteAnni Riserva ,4.6,Barolo,430.95 ,68.05199999999999,72.3205,1.44259,78.6199,Franco Conterno
183,Denxo ,4.6,Veneto,921.75 ,64.8425,43.0925,41.0803,17.0986,Desmonta
184,Leone Zardini Amarone della Valpolicella Riserva ,4.6,Amarone della Valpolicella,439 ,75.8062,28.8985,47.4704,29.1336,Pietro Zardini
185,Amarone della Valpolicella La Coeta ,4.6,Amarone della Valpolicella,255 ,82.2639,18.8587,43.5333,22.2368,Corte Lenguin
186,Cerrete Montefalco Sagrantino Secco ,4.6,Montefalco Sagrantino,844.08 ,50.9144,47.0457,8.0773,45.1425,Paolo Bea
187,Negus Montepulciano d'Abruzzo ,4.6,Montepulciano d'Abruzzo,300 ,48.2411,34.3889,23.6178,61.547799999999995,Cascina del Colle
188,Bottiglia Particolare ,4.6,Chianti,332.83 ,46.7945,31.5317,8.9098,41.4423,Verrazzano
189,Amarone della Valpolicella Case Vecie ,4.6,Amarone della Valpolicella Classico,419 ,82.5,23.8049,45.8008,22.474,Brigaldara
190,Ca’ del Merlo Rosso Veneto ,4.6,Veneto,847.38 ,60.034,33.2086,19.6692,23.4736,Quintarelli Giuseppe
191,Fossati Case Nere Barolo  Riserva  Anni ,4.6,Barolo,3491.51 ,62.137299999999996,76.2481,3.83906,81.9422,Roberto Voerzio
192,Petrucci ,4.6,Orcia,798 ,45.5782,35.6909,9.8644,43.4148,Podere Forte
193,Vürsù Barbaresco Valeirano ,4.6,Barbaresco,999 ,62.4961,70.3278,6.668430000000001,82.5,La Spinetta
194,Barolo Riserva Cannubi  ,4.6,Barolo,1172.22 ,63.501000000000005,71.4735,8.9163,71.1418,Damilano
195,Il Lussurioso Amarone ,4.6,Amarone della Valpolicella,1995 ,82.5,20.1066,45.7171,21.8247,Buglioni
196,Barolo Bussia Romirasco ,4.6,Barolo,1987.50 ,60.1872,75.2359,6.6899,82.5,Aldo Conterno
197,Montepulciano d'Abruzzo ,4.6,Montepulciano d'Abruzzo,3017.41 ,35.866,38.4381,12.2677,63.9935,Valentini
