,price,light-bold,smooth-tannic,dry-sweet,soft-acidic,alcohol_pct,residual_sugar_g/l,acidity_g/l,winery
218,390.62 kr.,56.5566,64.3711,0,72.4371,,,,La Sala
219,900 kr.,85,25.2675,49.6886,32.6974,,,,Corte Archi
220,1206.01 kr.,47.7524,35.5,17.5752,47.5218,14.5,,,Tenuta Argentiera
221,313.20 kr.,67.6575,72.0772,4.09805,85,,,,Cascina Bruciata
222,1374.96 kr.,46.8357,38.8214,17.15,53.8886,,,,Girlan
223,775 kr.,62.8005,73.6058,1.20485,85,,,,Azelia
224,,64.8617,30.3163,24.5643,59.5982,,,,Franco Roero
225,887.40 kr.,43.1429,51.1607,3.77679,43.4643,15,,,Tili
226,369 kr.,81.8031,29.2681,45.5193,26.6389,,,,Benedetti
227,578.86 kr.,68.8348,19.3581,44.189,23.5937,,,,Meroni
228,300.18 kr.,66.1195,39.7862,31.4642,25.8604,14,,,Erbhof Unterganzner
229,154.58 kr.,40.056,40.6716,0,39.7761,,,,Le Pietrose
230,875.30 kr.,85,28.9132,49.2872,26.75,,,,Edizione Limitata
231,11.75 kr.,56.4087,85,0,85,,,,Osvaldo Viberti
232,950.59 kr.,85,24.8721,46.3223,24.1414,,,,Cesari
233,650 kr.,43.9092,53.2838,11.5242,65.5301,13.5,,,Sesti
234,1633.69 kr.,76.8063,26.1637,43.0299,20.9419,16.5,,,Allegrini
235,399.75 kr.,85,25.2993,52.7615,27.0699,,,,Fabiano
236,106.53 kr.,74.1655,34.0554,25.9971,21.1268,,,,Bonazzi Dario e Fabio
237,626.51 kr.,40.5985,25.4206,2.75493,40.8011,,,,Carlo Baccheschi Berti
238,520 kr.,53.2732,61.6639,10.1284,67.1489,14.5,,,Podere le Ripi
239,281 kr.,67.488,39.4503,5.25599,39.0702,,,,Giovanni Montisci
240,375 kr.,85,24.8103,51.0298,21.8512,,,,Montresor
241,946.15 kr.,63.0114,66.5847,21.5106,85,,,,Gaja
242,263.16 kr.,85,24.7519,50.8776,20.8999,,,,Tommasi
243,305.53 kr.,63.7472,40.932,20.7823,44.1683,,,,Toggenburg
244,1593.94 kr.,60.84,79.1594,9.89637,84.3406,,,,Cappellano
245,610.04 kr.,60.2047,71.5009,9.85554,79.8835,,,,Cordero di Montezemolo
246,770.54 kr.,82.8333,19.7442,49.6667,25.533,,,,Montresor
247,1250 kr.,62.4641,75.86,2.38197,83.1968,14,,,Vietti
248,1731.42 kr.,58.5329,47.9204,18.3688,47.0062,,,,Oasi degli Angeli
249,484.16 kr.,51.0193,56.3509,12.5429,64.0467,,,,Fanti
250,144.04 kr.,65.976,40.0582,5.57192,14.7671,,,,Tenute Falezza
251,1053.08 kr.,85,41.572,26.7225,28.4174,,,,Quintodecimo
252,1153.37 kr.,46.1793,54.886,8.83103,62.8086,,,,La Fiorita
253,272.20 kr.,85,17.0833,48.4861,20.6319,,,,Corte Aleardi
254,699 kr.,83.909,30.2778,50.8596,24.7022,,,,Spinosa
255,700 kr.,47.3573,58.2184,8.26174,63.5991,,,,Gaja
256,638.72 kr.,49.407,67.8837,11.8779,56.3721,14.5,,,Stella di Campalto
257,499 kr.,60.9092,81.6209,3.90129,82.3909,,,,Gagliasso
258,246.56 kr.,47.8739,58.1902,0.752185,62.7201,,,,Terralsole
259,236.56 kr.,51.9898,38.8163,4.28809,43.2696,,,,Torciano
260,847.38 kr.,82.5648,37.7228,32.7193,27.3909,,,,Taurino
261,1170.96 kr.,85,37.3248,34.0641,16.9872,,,,Antonio Ferrari
262,431.71 kr.,76.537,19.8672,52.4635,23.685,,,,Tommasi
263,699 kr.,67.8461,48.2115,5,31.1731,,,,I Campi
264,411.04 kr.,46.6081,36.9881,0.56746,42.9434,,,,Talosa
265,976.66 kr.,64.0151,47.1752,21.8348,29.9116,,,,Gravner
266,284.09 kr.,55.7044,48.1691,4.89834,46.2427,13.5,,,Colle Santa Mustiola
267,509 kr.,73.6104,19.565,36.2706,11.9618,,,,Schola Sarmenti
268,364.98 kr.,51.5354,59.8849,5.80124,63.3093,,,,Val di Suga
269,275 kr.,85,22.7412,54.966,22.5406,,,,Corte Alta Fumane
270,1382.61 kr.,45,43.4091,0,42.7273,,,,Castorani
271,1462.19 kr.,27.3766,65.0728,0,66.9399,,,,Stella di Campalto
272,331.46 kr.,58.2438,59.2654,15.608,49.1806,,,,Romanelli
273,160 kr.,66.4175,31.3877,46.5104,23.3936,,,,Fratelli Vogadori
274,279.20 kr.,45.033,35.3312,7.62437,45.2487,,,,Camperchi
275,245 kr.,67.7556,24.5722,42.5833,3.36666,,,,
276,1005.56 kr.,67.2683,71.7332,11.3674,85,14,,,Bruno Rocca
277,252.51 kr.,60.6184,37.2976,19.8315,48.0439,,,,Ernesto Ruffo
278,1452.47 kr.,54.4951,71.5379,6.5892,80.3905,,,,Roagna
279,196.93 kr.,85,21.6816,52.0283,23.1937,,,,Domenico Fraccaroli
280,3314.98 kr.,64.4949,41.9935,19.1065,31.9497,,,,Foradori
281,499 kr.,45.7516,55.9738,8.11388,64.8369,,,,Ciacci Piccolomini d'Aragona
