,manufacturer,link,name,year,name_year,manufacturer_name_year,manufacturer_name
1615,Az. Vit. Nervi,https://www.dn.no/smak/vin/nervi-gattinara/4-1-43481,Nervi Gattinara,2013,Nervi Gattinara 2013,Az. Vit. Nervi Nervi Gattinara 2013,Az. Vit. Nervi Nervi Gattinara
1616,Az. Agr. Josetta Saffirio,https://www.dn.no/smak/vin/saffirio-barolo/4-1-38017,Saffirio Barolo,2012,Saffirio Barolo 2012,Az. Agr. Josetta Saffirio Saffirio Barolo 2012,Az. Agr. Josetta Saffirio Saffirio Barolo
1617,Az. Agr. Poggio Salvi,https://www.dn.no/smak/vin/brunello-di-montalcino-pomona/4-1-27044,Brunello di Montalcino Pomona,2010,Brunello di Montalcino Pomona 2010,Az. Agr. Poggio Salvi Brunello di Montalcino Pomona 2010,Az. Agr. Poggio Salvi Brunello di Montalcino Pomona
1618,Az. Agr. Roagna,https://www.dn.no/smak/vin/roagna-barolo/4-1-43138,Roagna Barolo,2011,Roagna Barolo 2011,Az. Agr. Roagna Roagna Barolo 2011,Az. Agr. Roagna Roagna Barolo
1619,Tunia Soc.Agr.,https://www.dn.no/smak/vin/tunia-chiassobuio/4-1-19741,Tunia Chiassobuio,2010,Tunia Chiassobuio 2010,Tunia Soc.Agr. Tunia Chiassobuio 2010,Tunia Soc.Agr. Tunia Chiassobuio
1620,Dirusi,https://www.dn.no/smak/vin/dirupi-valtellina-superiore/4-1-30208,Dirupi Valtellina Superiore,2012,Dirupi Valtellina Superiore 2012,Dirusi Dirupi Valtellina Superiore 2012,Dirusi Dirupi Valtellina Superiore
1621,Rocca di Frassinello,https://www.dn.no/smak/vin/rocca-di-frassinello-baffonero/4-1-53834,Rocca di frassinello BAFFONERO,2009,Rocca di frassinello BAFFONERO 2009,Rocca di Frassinello Rocca di frassinello BAFFONERO 2009,Rocca di Frassinello Rocca di frassinello BAFFONERO
1622,Viberti Giovanni,https://www.dn.no/smak/vin/barolo-san-pietro-riserva/4-1-40892,Barolo San Pietro Riserva,2010,Barolo San Pietro Riserva 2010,Viberti Giovanni Barolo San Pietro Riserva 2010,Viberti Giovanni Barolo San Pietro Riserva
1623,Felsina Berardenga,https://www.dn.no/smak/vin/maestro-raro/4-1-51117,Maestro Raro,2014,Maestro Raro 2014,Felsina Berardenga Maestro Raro 2014,Felsina Berardenga Maestro Raro
1624,Felsina,https://www.dn.no/smak/vin/chianti-classico-riserva-rancia/4-1-51116,Chianti Classico Riserva Rancia,2013,Chianti Classico Riserva Rancia 2013,Felsina Chianti Classico Riserva Rancia 2013,Felsina Chianti Classico Riserva Rancia
1625,Moccagatta,https://www.dn.no/smak/vin/barbaresco-bric-balin/4-1-29885,Barbaresco Bric Balin,2012,Barbaresco Bric Balin 2012,Moccagatta Barbaresco Bric Balin 2012,Moccagatta Barbaresco Bric Balin
1626,Moccagatta,https://www.dn.no/smak/vin/barbaresco-basarin/4-1-29884,Barbaresco Basarin,2012,Barbaresco Basarin 2012,Moccagatta Barbaresco Basarin 2012,Moccagatta Barbaresco Basarin
1627,Castellare di Castellina,https://www.dn.no/smak/vin/33-vendemmie/4-1-37892,33 Vendemmie,2010,33 Vendemmie 2010,Castellare di Castellina 33 Vendemmie 2010,Castellare di Castellina 33 Vendemmie
