,price,total_ratings,total_reviews,light-bold,smooth-tannic,dry-sweet,soft-acidic,alcohol_pct,residual_sugar_g/l,acidity_g/l,winery
1041,775 kr.,11228,12006.0,51.8706,41.4887,10.1929,44.4029,13.5,,,Antinori
1042,775 kr.,10166,12006.0,51.8706,41.4887,10.1929,44.4029,14.0,,,Antinori
1043,775 kr.,9879,12006.0,51.8706,41.4887,10.1929,44.4029,13.5,,,Antinori
1044,775 kr.,9827,12006.0,51.8706,41.4887,10.1929,44.4029,13.5,,,Antinori
1045,189 kr.,9038,3668.0,68.9558,22.259,47.1057,11.1188,14.5,10.0,10.0,San Marzano
1046,775 kr.,8664,12006.0,51.8706,41.4887,10.1929,44.4029,13.5,,,Antinori
1047,775 kr.,6295,12006.0,51.8706,41.4887,10.1929,44.4029,14.0,,,Antinori
1048,1549.50 kr.,5956,7839.0,61.8765,64.8046,10.8157,54.8693,13.5,,,Tenuta San Guido
1049,189 kr.,5554,3668.0,68.9558,22.259,47.1057,11.1188,,,,San Marzano
1050,278.37 kr.,4213,509.0,68.4701,26.3392,44.5429,11.5832,,,,Luccarelli
1051,775 kr.,3767,12006.0,51.8706,41.4887,10.1929,44.4029,14.0,,,Antinori
1052,950 kr.,3186,1937.0,45.4513,58.5444,7.30765,63.53,13.5,,,Biondi-Santi
1053,1554.69 kr.,2781,4669.0,64.3908,64.8157,12.995,53.9656,14.0,0.0,,Ornellaia
1054,2085.60 kr.,2335,4669.0,64.3908,64.8157,12.995,53.9656,14.0,,,Ornellaia
1055,795 kr.,1880,3071.0,50.3675,57.3242,12.4411,63.49100000000001,14.5,,,Casanova di Neri
1056,724.95 kr.,1726,3071.0,50.3675,57.3242,12.4411,63.49100000000001,14.5,,,Casanova di Neri
1057,775 kr.,1711,12006.0,51.8706,41.4887,10.1929,44.4029,13.5,,,Antinori
1058,849 kr.,1683,3544.0,65.6909,65.5596,11.0463,53.1928,14.0,,,Antinori
1059,544.49 kr.,1655,1570.0,50.6784,59.1578,7.79012,64.8945,14.0,,,Valdicava
1060,991.40 kr.,1607,1937.0,45.4513,58.5444,7.30765,63.53,13.0,,,Biondi-Santi
1061,,1608,2458.0,60.5398,68.4833,7.15129,85.0,14.0,,,Gaja
1062,775 kr.,1602,12006.0,51.8706,41.4887,10.1929,44.4029,13.5,,,Antinori
1063,696.90 kr.,1491,3071.0,50.3675,57.3242,12.4411,63.49100000000001,14.5,,,Casanova di Neri
1064,775 kr.,1453,12006.0,51.8706,41.4887,10.1929,44.4029,13.5,,,Antinori
1065,886.38 kr.,1443,1937.0,45.4513,58.5444,7.30765,63.53,13.5,,,Biondi-Santi
1066,649 kr.,1444,2609.0,52.709,44.5076,10.6018,46.0463,14.5,,,Fontodi
1067,991.40 kr.,1410,1937.0,45.4513,58.5444,7.30765,63.53,13.5,,,Biondi-Santi
1068,288.74 kr.,1348,81.0,69.0284,27.4294,47.7434,16.0956,,,,Terra Rossa
1069,1595 kr.,1345,2458.0,60.5398,68.4833,7.15129,85.0,14.5,,,Gaja
1070,365.57 kr.,1296,830.0,65.4371,76.3154,15.7943,83.8216,15.5,,,Nino Negri
1071,899 kr.,1275,3544.0,65.6909,65.5596,11.0463,53.1928,14.5,,,Antinori
1072,775 kr.,1244,12006.0,51.8706,41.4887,10.1929,44.4029,,,,Antinori
1073,200 kr.,1249,177.0,67.9415,23.4433,46.233,11.5024,,,,Luccarelli
1074,1595 kr.,1147,2458.0,60.5398,68.4833,7.15129,85.0,14.5,,,Gaja
1075,365.57 kr.,1148,830.0,65.4371,76.3154,15.7943,83.8216,16.0,,,Nino Negri
1076,294.22 kr.,1059,243.0,82.6561,27.462,48.2307,26.559,17.0,,,Cà dei Frati
1077,775 kr.,1031,12006.0,51.8706,41.4887,10.1929,44.4029,13.5,,,Antinori
1078,850 kr.,984,2609.0,52.709,44.5076,10.6018,46.0463,15.0,,,Fontodi
1079,775 kr.,962,12006.0,51.8706,41.4887,10.1929,44.4029,13.5,,,Antinori
1080,558.64 kr.,964,1326.0,46.2948,32.6319,21.7654,53.8011,15.0,,,Quintarelli Giuseppe
1081,297 kr.,959,643.0,85.0,23.5684,50.2442,24.1994,,,,Latium Morini
1082,575 kr.,950,990.0,84.7483,44.4425,28.7637,27.8159,14.5,,,Argiolas
1083,799 kr.,945,1740.0,53.8816,38.6542,25.2792,55.6579,14.0,,,Dal Forno Romano
1084,1117.28 kr.,945,830.0,65.4371,76.3154,15.7943,83.8216,15.5,,,Nino Negri
1085,558.64 kr.,933,1326.0,46.2948,32.6319,21.7654,53.8011,15.0,,,Quintarelli Giuseppe
1086,399 kr.,901,573.0,69.1797,24.5115,44.9038,12.8952,,,,Gianfranco Fino
1087,573.61 kr.,893,1326.0,46.2948,32.6319,21.7654,53.8011,15.0,,,Quintarelli Giuseppe
1088,850 kr.,871,2609.0,52.709,44.5076,10.6018,46.0463,15.0,,,Fontodi
1089,991.40 kr.,869,1937.0,45.4513,58.5444,7.30765,63.53,13.0,,,Biondi-Santi
1090,2979.42 kr.,868,3044.0,52.1497,41.1873,14.8661,44.3272,14.0,,,Antinori
1091,999 kr.,861,656.0,47.7731,54.9093,10.3021,64.2117,14.0,,,Banfi
1092,899 kr.,850,597.0,54.9032,42.1393,10.2196,45.0511,14.5,,,Biserno
1093,499 kr.,849,1740.0,53.8816,38.6542,25.2792,55.6579,14.5,,,Dal Forno Romano
1094,819.34 kr.,829,3071.0,50.3675,57.3242,12.4411,63.49100000000001,14.5,,,Casanova di Neri
1095,1931.73 kr.,802,796.0,43.6204,56.0942,7.82332,63.8725,14.0,,,Poggio di Sotto
1096,1595 kr.,802,2458.0,60.5398,68.4833,7.15129,85.0,14.5,,,Gaja
1097,737.41 kr.,782,579.0,57.0371,42.4811,33.529,42.7861,15.0,,,Oasi degli Angeli
1098,775 kr.,783,12006.0,51.8706,41.4887,10.1929,44.4029,13.5,,,Antinori
1099,819.34 kr.,768,3071.0,50.3675,57.3242,12.4411,63.49100000000001,15.0,,,Casanova di Neri
1100,366.97 kr.,770,472.0,65.7029,40.2779,27.4223,25.9072,15.0,,,Zýmē
1101,343.13 kr.,741,14.0,72.2477,40.1285,40.8458,12.3084,,,,Vigneti di Theo
1102,737.41 kr.,732,579.0,57.0371,42.4811,33.529,42.7861,15.0,,,Oasi degli Angeli
1103,737.41 kr.,720,579.0,57.0371,42.4811,33.529,42.7861,14.0,,,Oasi degli Angeli
1104,189 kr.,717,3668.0,68.9558,22.259,47.1057,11.1188,,,,San Marzano
1105,399 kr.,711,573.0,69.1797,24.5115,44.9038,12.8952,17.5,,,Gianfranco Fino
1106,737.41 kr.,687,579.0,57.0371,42.4811,33.529,42.7861,15.0,,,Oasi degli Angeli
1107,357.53 kr.,688,1041.0,85.0,23.9397,52.2226,21.952,17.0,,,Bussola
1108,143.46 kr.,662,171.0,69.8202,19.9583,47.1006,10.2523,,,,San Marzano
1109,1850.22 kr.,662,1127.0,64.3381,77.4755,8.46257,85.0,13.0,,,Gaja
1110,573.61 kr.,642,1326.0,46.2948,32.6319,21.7654,53.8011,,,,Quintarelli Giuseppe
1111,143.46 kr.,639,171.0,69.8202,19.9583,47.1006,10.2523,14.5,,,San Marzano
1112,879 kr.,636,1598.0,84.1716,25.1318,46.1561,25.2538,,,,Bertani
1113,1931.73 kr.,628,796.0,43.6204,56.0942,7.82332,63.8725,14.0,,,Poggio di Sotto
1114,737.41 kr.,621,579.0,57.0371,42.4811,33.529,42.7861,15.0,,,Oasi degli Angeli
1115,830.22 kr.,618,656.0,47.7731,54.9093,10.3021,64.2117,,,,Banfi
1116,1080.04 kr.,619,597.0,54.9032,42.1393,10.2196,45.0511,15.0,,,Biserno
1117,495 kr.,613,1019.0,65.6433,39.333,22.1928,24.3013,15.0,,,Allegrini
1118,808.17 kr.,601,1041.0,85.0,23.9397,52.2226,21.952,17.0,,,Bussola
1119,699 kr.,595,747.0,49.4961,55.6905,6.954839999999999,63.8013,,,,Poggio Antico
1120,294.22 kr.,577,243.0,82.6561,27.462,48.2307,26.559,17.0,,,Cà dei Frati
1121,550 kr.,569,222.0,85.0,26.8747,46.6794,25.243,,,,Castellani Michele
1122,550 kr.,573,990.0,84.7483,44.4425,28.7637,27.8159,14.5,,,Argiolas
1123,856.58 kr.,569,526.0,85.0,26.0857,50.81399999999999,21.8498,,,,Masi
1124,365.57 kr.,564,830.0,65.4371,76.3154,15.7943,83.8216,,,,Nino Negri
1125,649 kr.,562,1740.0,53.8816,38.6542,25.2792,55.6579,14.5,,,Dal Forno Romano
1126,425 kr.,559,289.0,85.0,23.9925,52.6952,22.2347,,,,Guerrieri Rizzardi
1127,808.17 kr.,557,1041.0,85.0,23.9397,52.2226,21.952,16.5,,,Bussola
1128,1395 kr.,556,796.0,43.6204,56.0942,7.82332,63.8725,14.0,,,Poggio di Sotto
1129,153.59 kr.,563,341.0,69.4509,21.8387,48.9808,12.6898,15.0,12.0,6.0,Varvaglione
1130,1340.74 kr.,527,45.0,61.7976,61.1084,1.94578,55.0452,13.5,,,Ornellaia
1131,729.96 kr.,524,7850.0,85.0,23.1243,48.9299,21.8885,,,,Masi
1132,791.41 kr.,521,785.0,51.5146,45.3784,10.7964,47.8581,13.5,,,Capannelle
1133,1936.63 kr.,520,3071.0,50.3675,57.3242,12.4411,63.49100000000001,14.5,,,Casanova di Neri
1134,912.45 kr.,521,473.0,66.4235,40.3224,26.9687,27.8835,15.5,,,Quintarelli Giuseppe
1135,528.77 kr.,515,992.0,85.0,24.138,51.0997,22.144,,,,Zenato
1136,5396.48 kr.,505,4669.0,64.3908,64.8157,12.995,53.9656,13.0,,,Ornellaia
1137,1127.90 kr.,499,93.0,69.5787,70.4075,17.2106,53.7697,15.0,,,Ornellaia
1138,649 kr.,492,1740.0,53.8816,38.6542,25.2792,55.6579,15.0,,,Dal Forno Romano
